,colony_id,species,treatment,recovered,airbrush_volume,surface_area,A,CA,D,di,Cdi,chla.ug.cm2,chlc2.ug.cm2,sym.cm2,prot_mg.cm2,Host_AFDW_mg.cm2,Sym_AFDW_mg.cm2,chla.sym,full_treatment
108,OFAV_SP_DEV35,OFAV,SP,p,7,6.155988858,0.1398,0.0576,6.318,0.3882,0.2481,2.255000562,0.55772112,13.40835219,0.509362106,2.04678733,5.458099547,0.168178799,OFAV_SP
109,OFAV_SP_EV,OFAV,SP,p,158,5.253481894,0.1362,0.0694,6.789,0.411,0.2724,NA,NA,NA,NA,NA,NA,NA,OFAV_SP
110,OFAV_SS_0AZ4,OFAV,SS,p,22,4.935933148,0.0972,0.0474,14.025,0.3655,0.2253,5.327472883,1.004409876,181.751066,1.049117454,5.125677201,9.80564334,0.029311921,OFAV_SS
111,OFAV_SS_0DW46,OFAV,SS,p,13,5.896935933,0.1304,0.0486,7.229,0.4159,0.2366,5.310871107,1.030013734,184.078649,0.900211637,4.409069438,4.849976382,0.028851098,OFAV_SS
112,OFAV_SS_0EV3,OFAV,SS,p,34.5,7.61281337,0.0812,0.0352,12.701,0.3319,0.1989,2.987762066,0.472670198,95.16849616,0.499273941,4.531833151,7.704116356,0.031394444,OFAV_SS
113,OFAV_SS_1AZ5,OFAV,SS,p,15.5,3.791086351,0.117,0.049666667,8.902,0.4095,0.2215,6.040916872,7.700147741,NA,0.686160279,4.292964732,10.2213446,NA,OFAV_SS
114,OFAV_SS_2AZ2,OFAV,SS,p,15,5.919220056,0.1248,0.038,9.066,0.4031,0.2003,6.005605411,1.329081353,190.9035294,1.198609313,4.624764706,7.855764705,0.03145885,OFAV_SS
115,OFAV_SS_2AZ21,OFAV,SS,p,17,5.270194986,0.091,0.0434,12.039,0.3553,0.2216,5.826881184,1.184956158,146.2311487,0.740478695,5.644952431,12.25761099,0.039847059,OFAV_SS
116,OFAV_SS_2AZ7_P1,OFAV,SS,P1,14.5,5.442896936,0.1018,0.0448,10.036,0.3578,0.2117,8.465863958,1.967114227,NA,1.466396365,5.527846725,11.18889458,NA,OFAV_SS
117,OFAV_SS_2AZ7_P2,OFAV,SS,P2,24.5,4.175487465,0.0798,0.034,9.665,0.318,0.1836,9.313753861,2.563691686,NA,1.77408297,9.828193796,12.32191461,NA,OFAV_SS
118,OFAV_SS_2DW40,OFAV,SS,p,15,5.155988858,0.1048,0.0472,9.386,0.3822,0.2017,6.478946313,1.657829417,177.2210967,1.277769973,5.454821718,6.691247974,0.03655855,OFAV_SS
119,OFAV_SS_2DW44,OFAV,SS,p,22.5,5.431754875,0.082,0.0302,13.012,0.3261,0.1816,6.33182798,2.165598461,220.9230769,1.754213916,4.867211538,7.041923076,0.028660781,OFAV_SS
120,OFAV_SS_2EV10,OFAV,SS,p,30,4.82729805,0.0964,0.0354,9.217,0.3518,0.1915,2.656662147,1.941148009,62.92339873,0.384273681,5.903923832,2.485862666,0.042220576,OFAV_SS
121,OFAV_SS_2EV3,OFAV,SS,p,17,5.935933148,0.1232,0.0564,10.504,0.4007,0.2391,4.206611841,0.717410371,166.4252046,0.634080982,5.656229469,6.014218676,0.025276291,OFAV_SS
122,OFAV_SS_2EV30,OFAV,SS,p,30.5,4.768802228,0.1108,0.0466,9.524,0.3849,0.2198,7.387341548,2.096202468,245.7028573,1.162759507,7.994669977,5.756162384,0.030066161,OFAV_SS
123,OFAV_SS_2EV34,OFAV,SS,p,37,4.281337047,0.1176,0.0522,7.919,0.3786,0.2401,10.28172185,NA,170.682661,1.249055063,7.561890046,13.82745608,0.060238819,OFAV_SS
124,OFAV_SS_2EV36,OFAV,SS,p,17,4.824512535,0.1124,0.0406,8.537,0.3727,0.2171,8.273963717,3.688315632,232.2687163,1.672813759,6.783068706,9.513914549,0.035622377,OFAV_SS
