"","bag_number","depth","act_depth","species","colony_number","site","colony_id","airbrush_volume","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2","sym.cm2","W","H","CW","CH","A","CA","di","Cdi","A.CA","D","chla.ug.cm2","chlc2.ug.cm2"
"102","128",15,15,"PAST",1,"Media Luna","15PA1ML","16",NA,NA,NA,0.0994,0.1014,0.1494,0.17,0.008,0.021,0.1004,0.1597,0.380952380952381,49.02,4.66250520360741,1.65822975622395
"103","130",15,15,"PAST",2,"Media Luna","15PA2ML","15",NA,NA,NA,0.0874,0.0878,0.1596,0.1528,0.0062,0.0188,0.0876,0.1562,0.329787234042553,50.167,11.6901957741803,2.7974881296876
"104","132",15,13,"PAST",3,"Media Luna","15PA3ML","15.5",NA,NA,NA,0.0974,0.101,0.1466,0.1452,0.0072,0.0182,0.0992,0.1459,0.395604395604396,60.501,4.93225823917744,1.36129316570548
"105","133",15,13,"PAST",4,"Media Luna","15PA4ML","22.5",NA,NA,NA,0.0816,0.0824,0.1408,0.1528,0.0056,0.017,0.082,0.1468,0.329411764705882,64.182,4.50599232166746,1.37765583170843
"106","136",15,14,"PAST",5,"Media Luna","15PA5ML","15",NA,NA,NA,0.0716,0.073,0.1222,0.1258,0.0044,0.012,0.0723,0.124,0.366666666666667,76.449,3.14509188215993,1.14042515204617
"107","315",30,29,"PAST",1,"Media Luna","30PA1ML","27",NA,NA,NA,0.0784,0.0724,0.1862,0.1406,0.0044,0.0216,0.0754,0.1634,0.203703703703704,53.358,7.46038385272917,2.19598844635151
"108","316",30,32,"PAST",2,"Media Luna","30PA2ML","Missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","217",30,31,"PAST",3,"Media Luna","30PA3ML","19",NA,NA,NA,0.073,0.0826,0.1632,0.1716,0.005,0.021,0.0778,0.1674,0.238095238095238,49.219,5.6973984706775,1.5688821925476
"110","322",30,33,"PAST",4,"Media Luna","30PA4ML","19.5",NA,NA,NA,0.0814,0.0848,0.1494,0.165,0.0052,0.0198,0.0831,0.1572,0.262626262626263,44.465,3.47858218716261,1.00822693062059
"111","326",30,31,"PAST",5,"Media Luna","30PA5ML","13.5",NA,NA,NA,0.088,0.0904,0.1474,0.1544,0.0066,0.0178,0.0892,0.1509,0.370786516853933,46.766,3.8968499003887,1.15952245024973
"112","336",45,45,"PAST",1,"Media Luna","45PA1ML","23",NA,NA,NA,0.1014,0.0998,0.1732,0.1692,0.0082,0.0246,0.1006,0.1712,0.333333333333333,41.975,7.56361269338838,1.83756476910552
"113","340",45,44,"PAST",2,"Media Luna","45PA2ML","21",NA,NA,NA,0.0946,0.092,0.1498,0.1532,0.0066,0.018,0.0933,0.1515,0.366666666666667,49.96,12.8112487436381,3.46464879080738
"114","351",45,46,"PAST",3,"Media Luna","45PA3ML","15",NA,NA,NA,0.1072,0.1016,0.1952,0.18,0.0088,0.0236,0.1044,0.1876,0.372881355932203,42.434,4.57001647668821,1.18175035135341
"115","354",45,48,"PAST",4,"Media Luna","45PA4ML","37.5",NA,NA,NA,0.0732,0.071,0.1262,0.1206,0.0042,0.0118,0.0721,0.1234,0.355932203389831,64.769,12.7600421910851,2.84235826613415
"116","360",45,40,"PAST",5,"Media Luna","45PA5ML","18.5",NA,NA,NA,0.0812,0.0728,0.1832,0.126,0.0048,0.0192,0.077,0.1546,0.25,48.204,8.50243757838962,1.76598889414718
"117","167",55,54,"PAST",1,"Media Luna","55PA1ML","25",NA,NA,NA,0.087,0.083,0.1768,0.1522,0.0058,0.0198,0.085,0.1645,0.292929292929293,45.267,13.9066354969335,3.54363039119429
"118","172",55,50,"PAST",2,"Media Luna","55PA2ML","13.5",NA,NA,NA,0.0874,0.0954,0.1726,0.1806,0.0064,0.0218,0.0914,0.1766,0.293577981651376,44.86,3.99304037749441,0.814891075916291
"119","178",55,62,"PAST",3,"Media Luna","55PA3ML","26.5",NA,NA,NA,0.0908,0.087,0.1592,0.1656,0.0068,0.0208,0.0889,0.1624,0.326923076923077,43.382,7.1552208629896,1.63737555663684
"120","184",55,61,"PAST",4,"Media Luna","55PA4ML","33",NA,NA,NA,0.0774,0.0814,0.139,0.1506,0.005,0.0158,0.0794,0.1448,0.316455696202532,50,16.6559652731778,4.19028860252904
"121","186",55,65,"PAST",5,"Media Luna","55PA5ML","15.5",NA,NA,NA,0.093,0.0856,0.1894,0.1686,0.0066,0.026,0.0893,0.179,0.253846153846154,35.863,5.49226326802828,1.6759830586282
"122","129",15,16,"PPOR",1,"Media Luna","15PP1ML","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.51754824051349,0.68785307857227
"123","131",15,15,"PPOR",2,"Media Luna","15PP2ML","31.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.43768769853923,1.86462457386727
"124","135",15,14,"PPOR",3,"Media Luna","15PP3ML","20.5",NA,NA,37.4148066677288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6028091660611,3.56032374370403
"125","137",15,14,"PPOR",4,"Media Luna","15PP4ML","15",NA,NA,70.6123158104652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.77966227087874,3.88784424529837
"126","138",15,16,"PPOR",5,"Media Luna","15PP5ML","34.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3988723626974,8.66362249163243
"127","314",30,29,"PPOR",1,"Media Luna","30PP1ML","Missing? ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","319",30,31,"PPOR",2,"Media Luna","30PP2ML","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.07173155509286,1.02804941399394
