"Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"45OFA1T",0.0004416,167.696,5.279,212.811,-0.965,0.458,"C2","W"
"45OFA2T",0.0004492,197.287,126.448,229,-89.061,0.437,"C1","H"
"45OFA2T",0.0002876,183.92,0.85,209.103,-0.42,0.28,"C2","CW"
"45OFA2T",0.192,200.282,0,230,0,0,"C2","A"
"45OFA2T",0.054,180.609,0,224,0,0,"C2","CA"
"45OFA2T",0.0004051,186.477,0.333,237.333,-90.298,0.394,"C3","H"
"45OFA2T",0.0002141,168.391,0.261,232.333,-89.718,0.208,"C3","CH"
"45OFA2T",0.0005992,205.144,0.333,239.895,-0.503,0.584,"C3","W"
"45OFA2T",0.0002613,189.477,1,227.667,0,0.254,"C3","CW"
"45OFA2T",0.168,210.449,0,247,0,0,"C3","A"
"45OFA2T",0.044,193.376,0,239,0,0,"C3","CA"
"45OFA2T",0.0004271,204.766,0.333,234.521,-91.129,0.416,"C4","H"
"45OFA2T",0.0002246,187.899,158,216.333,-90,0.218,"C1","CH"
"45OFA2T",0.0002309,144.688,0.333,235.626,-90.262,0.224,"C4","CH"
"45OFA2T",0.000551,201.425,0,233.286,1.421,0.537,"C4","W"
"45OFA2T",0.000255,177.48,0.333,229.193,-1.42,0.248,"C4","CW"
"45OFA2T",0.205,213.29,0,247,0,0,"C4","A"
"45OFA2T",0.049,194.01,0,246,0,0,"C4","CA"
"45OFA2T",0.0004586,179.619,0.333,222.069,-88.03,0.447,"C5","H"
"45OFA2T",0.0002666,161.296,0.713,207.941,-88.868,0.259,"C5","CH"
"45OFA2T",0.0004366,195.746,2.333,225.382,-1.242,0.425,"C5","W"
"45OFA2T",0.0002582,170.207,0.333,217.333,0,0.251,"C5","CW"
"45OFA2T",0.144,200.651,0,243,0,0,"C5","A"
"45OFA2T",0.0005342,185.292,0.333,220.173,0.564,0.52,"C1","W"
"45OFA2T",0.052,182.106,0,234,0,0,"C5","CA"
"45OFA2T",0.0003064,154.449,0.333,213.333,0,0.298,"C1","CW"
"45OFA2T",0.201,203.209,0,238,0,0,"C1","A"
"45OFA2T",0.051,181.563,0,231,0,0,"C1","CA"
"45OFA2T",0.000531,196.65,5.264,221.68,-89.546,0.517,"C2","H"
"45OFA2T",0.0002561,146.214,0.333,213,-90.236,0.249,"C2","CH"
"45OFA2T",0.0004723,192.909,2,218.947,-0.255,0.46,"C2","W"
"45OFA3T",0.0004236,196.367,2.586,230.476,-91.305,0.409,"C1","H"
"45OFA3T",0.0002525,188.799,1,231,0,0.243,"C2","CW"
"45OFA3T",0.154,193.194,0,245,0,0,"C2","A"
"45OFA3T",0.058,174.806,0,236,0,0,"C2","CA"
"45OFA3T",0.0005103,170.768,0.475,219.848,-86.867,0.492,"C3","H"
"45OFA3T",0.0003081,159.218,0,221.472,-87.406,0.297,"C3","CH"
"45OFA3T",0.000353,189.472,0.312,222.836,0.174,0.34,"C3","W"
"45OFA3T",0.0002461,175.507,0.779,216.613,-0.751,0.237,"C3","CW"
"45OFA3T",0.142,187.251,0,237,0,0,"C3","A"
"45OFA3T",0.055,173.451,0,232,0,0,"C3","CA"
"45OFA3T",0.0004942,195.287,0.751,226.617,-90.994,0.477,"C4","H"
"45OFA3T",0.000291,122.065,0,224.07,-90.423,0.28,"C1","CH"
"45OFA3T",0.0002824,176.61,0.243,225,-90.436,0.272,"C4","CH"
"45OFA3T",0.0004215,174.065,0.567,222.832,-0.437,0.406,"C4","W"
"45OFA3T",0.0002696,158.653,0.667,211.826,-0.457,0.26,"C4","CW"
"45OFA3T",0.154,190.972,0,234,0,0,"C4","A"
"45OFA3T",0.055,174.885,0,228,0,0,"C4","CA"
"45OFA3T",0.000537,183.243,0.118,226.859,-90.8,0.518,"C5","H"
"45OFA3T",0.0003188,162.042,0.11,218.671,-90.386,0.307,"C5","CH"
"45OFA3T",0.0003488,182.357,3.787,213.333,-0.529,0.336,"C5","W"
"45OFA3T",0.0002589,154.487,0.838,212.429,-0.238,0.249,"C5","CW"
"45OFA3T",0.155,188.829,0,232,0,0,"C5","A"
"45OFA3T",0.0005274,190.999,0.333,225,-0.699,0.509,"C1","W"
"45OFA3T",0.059,171.984,0,226,0,0,"C5","CA"
"45OFA3T",0.0003627,185.77,0.333,226.667,-0.678,0.35,"C1","CW"
"45OFA3T",0.153,200.112,0,245,0,0,"C1","A"
"45OFA3T",0.068,182.28,0,241,0,0,"C1","CA"
"45OFA3T",0.0004921,173.984,0.333,218.287,-90.25,0.475,"C2","H"
"45OFA3T",0.0002899,169.841,0.333,228.486,-90.424,0.279,"C2","CH"
"45OFA3T",0.000368,182.906,0.878,234.333,1.169,0.355,"C2","W"
"45OFA4T",0.0003755,167.048,107.874,221.546,-89.696,0.376,"C1","H"
